date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,NMTLF,0.00025,,bmo,,,2018-01-31,2023-09-29
2018-01-31,BB.PA,,,bmo,,,2017-10-31,2023-05-17
2018-01-31,6932.T,29.44,,bmo,10303000000.0,,2017-10-31,2023-10-17
2018-01-31,IBA,1.5,0.62,bmo,15039100000.0,10124012754.0,2017-12-31,2023-09-29
2018-01-31,SEIC,0.67,0.6000000000000001,amc,408219000.0,365552238.80597013,2017-12-30,2023-09-29
2018-01-31,LNC,1.98,1.94,amc,3669000000.0,2431858585.858586,2017-12-30,2023-09-29
2018-01-31,CMO,0.17,0.17,amc,22704000.0,64600000.0,2017-12-30,2023-05-17
2018-01-31,CGCLF,37.46,,bmo,,,2018-06-30,2023-05-17
2018-01-31,CTZ.V,0.007750000000000001,,bmo,742488.0,,2018-01-31,2023-05-17
2018-01-31,8316.T,161.59,114.88,bmo,499622000000.0,,2017-10-31,2023-10-17
2018-01-31,GLOP,0.61,0.56,bmo,93546000.0,105481967.21311477,2017-12-30,2023-09-29
2018-01-31,UPM.HE,0.56,0.48,bmo,2571000000.0,,2017-12-30,2023-05-17
2018-01-31,BOE.L,3.06,2.85,bmo,25368000000.0,,2017-12-30,2023-05-17
2018-01-31,006800.KS,220.0,158.2,bmo,435573146340.0,,2017-12-31,2023-10-16
2018-01-31,OKIEF,-11.53,-6.68,bmo,,,2018-06-30,2023-05-17
2018-01-31,069640.KS,-145.61722,,bmo,75540806000.0,,2017-10-31,2023-05-17
2018-01-31,RROTF,0.1028,,bmo,326057000.0,,2018-01-31,2023-10-17
2018-01-31,3433.T,22.15,,bmo,9826567000.0,,2017-10-31,2023-10-17
2018-01-31,5352.T,226.32,,bmo,36052000000.0,,2017-10-31,2023-10-17
2018-01-31,CK.CN,-0.03721,,bmo,-775492.0,,2018-01-31,2023-10-16
2018-01-31,MDLZ,0.5700000000000001,0.56,amc,6966000000.0,6843789473.684212,2017-12-30,2023-09-29
2018-01-31,9301.T,32.34,,bmo,55048000000.0,,2017-10-31,2023-10-17
2018-01-31,CACI,2.0,1.6400000000000001,amc,1087860000.0,322910247.3498232,2017-12-30,2023-09-29
2018-01-31,CPLP,0.42,0.42,bmo,64105000.0,62583571.428571425,2017-12-31,2023-09-29
2018-01-31,6586.T,52.09,52.24,bmo,120158000000.0,,2017-10-31,2023-10-17
2018-01-31,1514.T,0.81,,bmo,4427000000.0,,2017-10-31,2023-10-17
2018-01-31,IDW,-0.73441,,bmo,15640000.0,,2018-01-31,2023-09-29
2018-01-31,5445.T,-54.42,,bmo,15909000000.0,,2017-10-31,2023-10-17
2018-01-31,ING.WA,2.8200000000000003,,bmo,1207400000.0,,2017-12-30,2023-05-17
2018-01-31,4726.T,15.92,,bmo,12303033000.0,,2017-10-31,2023-10-17
2018-01-31,CIS.DE,-1.7827000000000002,,bmo,11887000000.0,,2018-01-31,2023-05-17
2018-01-31,MAMA,-0.0011400000000000002,,bmo,7829245.0,,2018-01-31,2023-09-29
2018-01-31,CALI.CN,0.1484,,bmo,479200.0,,2018-01-31,2023-05-17
2018-01-31,IZB.WA,1.81,,bmo,55603142.33,,2018-01-31,2023-10-17
2018-01-31,FNCB,0.11,,bmo,10718000.0,,2017-12-30,2023-09-29
2018-01-31,3099.T,21.93,24.35,bmo,277213000000.0,,2017-10-31,2023-10-17
2018-01-31,TTDKY,0.5,,bmo,341126000000.0,,2017-12-31,2023-11-28
2018-01-31,IPA,-0.12816000000000002,,bmo,1723308.0,,2018-01-31,2023-11-09
2018-01-31,CL.CN,-1.20953,,bmo,,,2018-01-31,2023-08-25
2018-01-31,BTA,0.027600000000000003,,bmo,3169455.0,,2018-01-31,2023-11-09
2018-01-31,7327.T,102.93,,bmo,,,2017-10-31,2023-10-17
2018-01-31,FOO.DE,0.09014000000000001,,bmo,2851003000.0,,2018-01-31,2023-10-17
2018-01-31,SAM.TO,-0.09411000000000001,,bmo,5352000.0,,2018-01-31,2023-10-16
2018-01-31,RET.V,-0.040740000000000005,,bmo,263357000.0,,2018-01-31,2023-10-17
2018-01-31,8349.T,25.44,,bmo,3343000000.0,,2017-10-31,2023-10-17
2018-01-31,4333.T,10.96,,bmo,3243308000.0,,2017-10-31,2023-10-17
2018-01-31,ART.V,-0.14954,,bmo,4016261.0,,2018-01-31,2023-08-25
2018-01-31,MKTAY,0.46,,bmo,120158000000.0,,2017-10-31,2023-10-17
2018-01-31,6184.T,2.15,,bmo,458525000.0,,2018-01-31,2023-10-17
2018-01-31,DBCCF,-0.07654000000000001,,bmo,,,2018-01-31,2023-08-25
2018-01-31,CHKP,1.58,1.5,bmo,506008000.0,480379746.835443,2017-12-31,2023-09-29
2018-01-31,8308.T,46.94,14.93,bmo,205258000000.0,,2017-10-31,2023-10-17
2018-01-31,HI,0.54,0.47000000000000003,amc,397200000.0,360422222.2222222,2017-12-30,2023-09-29
2018-01-31,4471.T,133.94,,bmo,40664000000.0,,2017-10-31,2023-10-16
2018-01-31,HINOY,2.49,,bmo,490610000000.0,,2017-10-31,2023-10-17
2018-01-31,REO.CN,-0.73362,,bmo,,,2018-01-31,2023-10-16
2018-01-31,BA,4.8,2.91,bmo,25368000000.0,23393888888.88889,2017-12-30,2023-09-29
2018-01-31,4112.T,97.2,,bmo,8660000000.0,,2017-10-31,2023-10-17
2018-01-31,4615.T,7.01,,bmo,5735000000.0,,2017-10-31,2023-10-17
2018-01-31,6702.T,58.3,132.67,bmo,966887000000.0,,2017-10-31,2023-10-17
2018-01-31,XRX,1.04,0.9400000000000001,bmo,2747000000.0,2518083333.0,2017-12-31,2023-09-29
2018-01-31,9828.T,18.77,,bmo,10845682000.0,,2017-10-31,2023-10-17
2018-01-31,3565.T,2.08,,bmo,1301533000.0,,2018-01-31,2023-10-16
2018-01-31,5951.T,23.41,,bmo,5023270000.0,,2017-10-31,2023-10-17
2018-01-31,RHHBF,,,bmo,,,2017-12-31,2023-05-17
2018-01-31,BSAC,0.46,0.45,bmo,415957000000.0,435952000000.0,2017-12-31,2023-09-29
2018-01-31,4718.T,14.4,,bmo,7294131000.0,,2017-10-31,2023-10-17
2018-01-31,9719.T,129.66,67.4,bmo,87258000000.0,,2017-10-31,2023-10-17
2018-01-31,6988.T,201.98,182.65,bmo,210416000000.0,,2017-10-31,2023-10-17
